Time	[A]	[B]
3.585	2.23141e-14	671.892
3.59	2.68388e-14	668.541
3.595	3.23004e-14	665.207
3.6	3.89151e-14	661.889
3.605	4.713e-14	658.588
3.61	5.7441e-14	655.303
3.615	7.03581e-14	652.035
3.62	8.64582e-14	648.783
3.625	1.06557e-13	645.547
3.63	1.31751e-13	642.327
3.635	1.63345e-13	639.123
3.64	2.03233e-13	635.936
3.645	2.53593e-13	632.764
3.65	3.1754e-13	629.608
3.655	3.98826e-13	626.468
3.66	5.02358e-13	623.343
3.665	6.3481e-13	620.235
3.67	8.04731e-13	617.141
3.675	1.02333e-12	614.063
3.68	1.30533e-12	611
3.685	1.67008e-12	607.953
3.69	2.14296e-12	604.921
3.695	2.7581e-12	601.904
3.7	3.56107e-12	598.902
3.705	4.61081e-12	595.915
3.71	5.988e-12	592.943
3.715	7.7999e-12	589.985
3.72	1.01904e-11	587.043
3.725	1.33513e-11	584.115
3.73	1.75445e-11	581.202
3.735	2.31219e-11	578.303
3.74	3.05595e-11	575.419
3.745	4.05064e-11	572.549
3.75	5.38451e-11	569.693
3.755	7.17797e-11	566.852
3.76	9.59591e-11	564.024
3.765	1.28646e-10	561.211
3.77	1.72951e-10	558.412
3.775	2.33165e-10	555.627
3.78	3.15216e-10	552.856
3.785	4.27321e-10	550.099
3.79	5.8089e-10	547.355
3.795	7.91811e-10	544.625
3.8	1.08226e-09	541.909
3.805	1.48327e-09	539.206
3.81	2.03834e-09	536.517
3.815	2.80866e-09	533.841
3.82	3.88044e-09	531.178
3.825	5.37546e-09	528.529
3.83	7.46618e-09	525.893
3.835	1.03974e-08	523.27
3.84	1.45173e-08	520.66
3.845	2.03224e-08	518.063
3.85	2.85228e-08	515.48
3.855	4.01355e-08	512.909
3.86	5.66211e-08	510.35
3.865	8.00822e-08	507.805
3.87	1.13553e-07	505.272
3.875	1.61419e-07	502.752
3.88	2.3004e-07	500.245
3.885	3.28655e-07	497.75
3.89	4.70713e-07	495.267
3.895	6.75847e-07	492.797
3.9	9.72771e-07	490.339
3.905	1.40358e-06	487.894
3.91	2.03013e-06	485.46
3.915	2.9435e-06	483.039
3.92	4.27813e-06	480.63
3.925	6.23286e-06	478.233
3.93	9.10246e-06	475.848
3.935	1.33249e-05	473.474
3.94	1.95522e-05	471.113
3.945	2.87576e-05	468.763
3.95	4.23962e-05	466.425
3.955	6.26489e-05	464.099
3.96	9.27915e-05	461.784
3.965	0.000137754	459.481
3.97	0.000204975	457.19
3.975	0.000305695	454.909
3.98	0.000456945	452.641
3.985	0.000684576	450.383
3.99	0.00102792	448.137
