Values[alpha].InitialValue	Values[delta].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
14.0328	0.15	461668
14.079	0.15	462196
14.1254	0.15	464337
14.1719	0.15	468102
14.2186	0.15	472350
14.2655	0.15	476189
14.3125	0.15	479556
14.3596	0.15	482774
14.4069	0.15	486076
14.4544	0.15	489460
14.502	0.15	492735
14.5498	0.15	495604
14.5977	0.15	497750
14.6458	0.15	498941
14.6941	0.15	499247
14.7425	0.15	499321
14.7911	0.15	500402
14.8398	0.15	503586
14.8887	0.15	508861
14.9378	0.15	515161
14.987	0.15	521447
15.0364	0.15	527410
15.0859	0.15	533313
15.1356	0.15	539559
15.1855	0.15	546417
15.2355	0.15	553934
15.2857	0.15	561922
15.3361	0.15	569920
15.3866	0.15	577137
15.4373	0.15	582474
15.4882	0.15	584981
15.5392	0.15	585138
15.5904	0.15	585659
15.6418	0.15	588765
15.6933	0.15	592872
15.745	0.15	595205
15.7969	0.15	595334
15.8489	0.15	594708
15.9012	0.15	595196
15.9535	0.15	598255
16.0061	0.15	604289
16.0588	0.15	612519
16.1118	0.15	621685
16.1648	0.15	630908
16.2181	0.15	639949
16.2715	0.15	648915
16.3251	0.15	657887
16.3789	0.15	666672
16.4329	0.15	674679
16.487	0.15	680926
16.5414	0.15	684377
16.5959	0.15	684956
16.6505	0.15	684790
16.7054	0.15	687234
16.7605	0.15	693091
16.8157	0.15	699883
16.8711	0.15	705426
16.9267	0.15	709289
16.9824	0.15	711286
17.0384	0.15	710283
17.0945	0.15	705365
17.1509	0.15	699739
17.2074	0.15	700123
17.2641	0.15	706376
17.3209	0.15	712782
17.378	0.15	717995
17.4353	0.15	723719
17.4927	0.15	730959
17.5503	0.15	739566
17.6082	0.15	748876
17.6662	0.15	758138
17.7244	0.15	766708
17.7828	0.15	774193
17.8414	0.15	780624
17.9002	0.15	786621
17.9591	0.15	793298
18.0183	0.15	801656
18.0777	0.15	811742
18.1372	0.15	822286
18.197	0.15	831158
18.257	0.15	836429
18.3171	0.15	837464
18.3775	0.15	835847
18.438	0.15	834491
18.4988	0.15	833852
18.5597	0.15	829809
18.6209	0.15	818616
18.6822	0.15	802835
18.7438	0.15	785988
18.8055	0.15	765251
18.8675	0.15	744794
18.9297	0.15	733793
18.992	0.15	726784
19.0546	0.15	719652
19.1174	0.15	715585
19.1804	0.15	716709
19.2436	0.15	722724
19.307	0.15	732482
19.3706	0.15	744793
19.4344	0.15	758791
19.4984	0.15	773924
19.5627	0.15	789883
19.6271	0.15	806335
19.6918	0.15	823223
19.7567	0.15	840386
19.8218	0.15	857507
19.8871	0.15	874822
19.9526	0.15	892258
20.0184	0.15	909528
20.0843	0.15	926758
20.1505	0.15	943665
20.2169	0.15	960183
20.2835	0.15	975900
20.3503	0.15	991100
20.4174	0.15	1.00544e+06
20.4847	0.15	1.01867e+06
20.5521	0.15	1.03093e+06
20.6199	0.15	1.04142e+06
20.6878	0.15	1.05063e+06
20.756	0.15	1.05805e+06
20.8243	0.15	1.06386e+06
20.893	0.15	1.06736e+06
20.9618	0.15	1.06877e+06
21.0309	0.15	1.06827e+06
21.1002	0.15	1.06564e+06
21.1697	0.15	1.06088e+06
21.2394	0.15	1.05407e+06
21.3094	0.15	1.04541e+06
21.3796	0.15	1.03504e+06
21.4501	0.15	1.02357e+06
21.5207	0.15	1.01212e+06
21.5916	0.15	1.00308e+06
21.6628	0.15	1.00375e+06
21.7342	0.15	1.02023e+06
21.8058	0.15	1.03849e+06
21.8776	0.15	1.10151e+06
21.9497	0.15	1.12981e+06
22.022	0.15	1.1396e+06
22.0946	0.15	1.18295e+06
22.1674	0.15	1.19589e+06
22.2404	0.15	1.18639e+06
22.3137	0.15	1.19283e+06
22.3872	0.15	1.21246e+06
22.461	0.15	1.208e+06
22.535	0.15	1.19609e+06
22.6092	0.15	1.18702e+06
22.6837	0.15	1.21012e+06
22.7585	0.15	1.25756e+06
22.8334	0.15	1.32745e+06
22.9087	0.15	1.32359e+06
22.9842	0.15	1.30371e+06
23.0599	0.15	1.30182e+06
23.1359	0.15	1.30451e+06
23.2121	0.15	1.34288e+06
23.2886	0.15	1.34241e+06
23.3653	0.15	1.31712e+06
23.4423	0.15	1.3043e+06
23.5195	0.15	1.31035e+06
23.597	0.15	1.34131e+06
23.6748	0.15	1.38149e+06
23.7528	0.15	1.45546e+06
23.831	0.15	1.50604e+06
23.9096	0.15	1.47799e+06
23.9883	0.15	1.43204e+06
24.0674	0.15	1.38746e+06
24.1467	0.15	1.35381e+06
24.2262	0.15	1.34199e+06
24.306	0.15	1.33993e+06
24.3861	0.15	1.38015e+06
24.4665	0.15	1.39565e+06
24.5471	0.15	1.39233e+06
24.628	0.15	1.40738e+06
24.7091	0.15	1.44187e+06
24.7905	0.15	1.53009e+06
24.8722	0.15	1.53715e+06
24.9542	0.15	1.5079e+06
25.0364	0.15	1.47793e+06
25.1189	0.15	1.45949e+06
25.2016	0.15	1.45068e+06
25.2847	0.15	1.44497e+06
25.368	0.15	1.47406e+06
25.4516	0.15	1.48893e+06
25.5354	0.15	1.49719e+06
25.6195	0.15	1.52137e+06
25.704	0.15	1.59237e+06
25.7886	0.15	1.62005e+06
25.8736	0.15	1.66662e+06
25.9589	0.15	1.64578e+06
26.0444	0.15	1.60879e+06
26.1302	0.15	1.57333e+06
26.2163	0.15	1.54096e+06
26.3027	0.15	1.51163e+06
26.3893	0.15	1.48631e+06
26.4763	0.15	1.46591e+06
26.5635	0.15	1.45161e+06
26.651	0.15	1.44606e+06
26.7389	0.15	1.46025e+06
26.827	0.15	1.52815e+06
26.9153	0.15	1.6564e+06
27.004	0.15	1.83747e+06
27.093	0.15	2.04501e+06
27.1823	0.15	2.13003e+06
27.2718	0.15	2.11843e+06
27.3617	0.15	2.07225e+06
27.4518	0.15	2.01677e+06
27.5423	0.15	1.96026e+06
27.633	0.15	1.90527e+06
27.7241	0.15	1.85258e+06
27.8154	0.15	1.80268e+06
27.9071	0.15	1.75665e+06
27.999	0.15	1.7205e+06
28.0913	0.15	1.71089e+06
28.1838	0.15	1.71947e+06
28.2767	0.15	1.77529e+06
28.3699	0.15	1.78291e+06
28.4633	0.15	1.77849e+06
28.5571	0.15	1.79419e+06
28.6512	0.15	1.8223e+06
28.7456	0.15	1.80391e+06
28.8403	0.15	1.78644e+06
28.9353	0.15	1.78797e+06
29.0307	0.15	1.84247e+06
29.1263	0.15	1.95521e+06
29.2223	0.15	1.9822e+06
29.3186	0.15	1.94383e+06
29.4152	0.15	1.92362e+06
29.5121	0.15	1.93369e+06
29.6093	0.15	1.9915e+06
29.7069	0.15	2.00698e+06
29.8048	0.15	1.99428e+06
29.903	0.15	1.99368e+06
30.0015	0.15	1.98734e+06
30.1003	0.15	1.9915e+06
30.1995	0.15	2.03204e+06
30.299	0.15	2.14149e+06
30.3988	0.15	2.2135e+06
30.499	0.15	2.16387e+06
30.5995	0.15	2.09893e+06
30.7003	0.15	2.04039e+06
30.8015	0.15	1.99836e+06
30.903	0.15	1.99452e+06
31.0048	0.15	2.02982e+06
31.1069	0.15	2.12201e+06
31.2094	0.15	2.14829e+06
31.3123	0.15	2.18175e+06
31.4154	0.15	2.21048e+06
31.5189	0.15	2.25167e+06
31.6228	0.15	2.32786e+06
31.727	0.15	2.35695e+06
31.8315	0.15	2.32205e+06
31.9364	0.15	2.29717e+06
32.0416	0.15	2.28413e+06
32.1472	0.15	2.31116e+06
32.2531	0.15	2.29708e+06
32.3594	0.15	2.24934e+06
32.466	0.15	2.22106e+06
32.573	0.15	2.22554e+06
32.6803	0.15	2.29176e+06
32.788	0.15	2.31555e+06
32.896	0.15	2.33717e+06
33.0044	0.15	2.40754e+06
33.1131	0.15	2.47464e+06
33.2222	0.15	2.46302e+06
33.3317	0.15	2.42317e+06
33.4415	0.15	2.37597e+06
33.5517	0.15	2.3402e+06
33.6622	0.15	2.31569e+06
33.7731	0.15	2.31786e+06
33.8844	0.15	2.35265e+06
33.9961	0.15	2.3714e+06
34.1081	0.15	2.39126e+06
34.2204	0.15	2.47664e+06
34.3332	0.15	2.56682e+06
34.4463	0.15	2.69357e+06
34.5598	0.15	2.77344e+06
34.6737	0.15	2.72088e+06
34.7879	0.15	2.63877e+06
34.9025	0.15	2.55662e+06
35.0175	0.15	2.47911e+06
35.1329	0.15	2.40559e+06
35.2487	0.15	2.33629e+06
35.3648	0.15	2.27275e+06
35.4813	0.15	2.21107e+06
35.5982	0.15	2.15219e+06
35.7155	0.15	2.10016e+06
35.8332	0.15	2.05979e+06
35.9513	0.15	2.06275e+06
36.0697	0.15	2.14542e+06
36.1886	0.15	2.31947e+06
36.3078	0.15	2.47306e+06
36.4274	0.15	2.58307e+06
36.5475	0.15	2.68148e+06
36.6679	0.15	2.74505e+06
36.7887	0.15	2.80573e+06
36.9099	0.15	2.82889e+06
37.0315	0.15	2.84904e+06
37.1535	0.15	2.86637e+06
37.2759	0.15	2.88024e+06
37.3988	0.15	2.93974e+06
37.522	0.15	3.07663e+06
37.6456	0.15	3.11451e+06
37.7696	0.15	3.15163e+06
37.8941	0.15	3.24103e+06
38.0189	0.15	3.23564e+06
38.1442	0.15	3.20697e+06
38.2699	0.15	3.21135e+06
38.396	0.15	3.26938e+06
38.5225	0.15	3.24918e+06
38.6494	0.15	3.19746e+06
38.7768	0.15	3.17173e+06
38.9045	0.15	3.20499e+06
39.0327	0.15	3.35274e+06
39.1613	0.15	3.50855e+06
39.2903	0.15	3.47186e+06
39.4198	0.15	3.40812e+06
39.5497	0.15	3.38077e+06
39.68	0.15	3.42157e+06
39.8107	0.15	3.52144e+06
39.9419	0.15	3.52636e+06
40.0735	0.15	3.53759e+06
40.2055	0.15	3.52578e+06
40.338	0.15	3.48828e+06
40.4709	0.15	3.47726e+06
40.6042	0.15	3.54633e+06
40.738	0.15	3.67214e+06
40.8723	0.15	3.76205e+06
41.0069	0.15	3.69466e+06
41.142	0.15	3.60528e+06
41.2776	0.15	3.53024e+06
41.4136	0.15	3.47849e+06
41.55	0.15	3.48089e+06
41.6869	0.15	3.57869e+06
41.8243	0.15	3.79969e+06
41.9621	0.15	3.94189e+06
42.1004	0.15	3.93858e+06
42.2391	0.15	3.86816e+06
42.3782	0.15	3.79582e+06
42.5179	0.15	3.77858e+06
42.658	0.15	3.85943e+06
42.7985	0.15	3.86164e+06
42.9395	0.15	3.82374e+06
43.081	0.15	3.83582e+06
43.2229	0.15	3.87276e+06
43.3654	0.15	3.81789e+06
43.5082	0.15	3.74948e+06
43.6516	0.15	3.71037e+06
43.7954	0.15	3.73262e+06
43.9397	0.15	3.86498e+06
44.0845	0.15	4.00727e+06
44.2297	0.15	3.97498e+06
44.3755	0.15	3.91316e+06
44.5217	0.15	3.914e+06
44.6684	0.15	4.01966e+06
44.8155	0.15	4.02135e+06
44.9632	0.15	3.99663e+06
45.1113	0.15	4.02298e+06
45.26	0.15	4.04942e+06
45.4091	0.15	4.01162e+06
45.5587	0.15	3.97247e+06
45.7088	0.15	3.98109e+06
45.8594	0.15	4.06202e+06
46.0105	0.15	4.161e+06
46.1621	0.15	4.18463e+06
46.3142	0.15	4.23737e+06
46.4668	0.15	4.36508e+06
46.6199	0.15	4.41381e+06
46.7735	0.15	4.52815e+06
46.9276	0.15	4.63702e+06
47.0822	0.15	4.76379e+06
47.2374	0.15	4.7177e+06
47.393	0.15	4.63144e+06
47.5492	0.15	4.56444e+06
47.7058	0.15	4.52907e+06
47.863	0.15	4.51168e+06
48.0207	0.15	4.48929e+06
48.1789	0.15	4.46879e+06
48.3377	0.15	4.47791e+06
48.4969	0.15	4.55388e+06
48.6567	0.15	4.67115e+06
48.817	0.15	4.92413e+06
48.9779	0.15	5.40963e+06
49.1393	0.15	6.02934e+06
49.3012	0.15	6.05222e+06
49.4636	0.15	5.89386e+06
49.6266	0.15	5.72535e+06
49.7901	0.15	5.56168e+06
49.9541	0.15	5.41129e+06
50.1187	0.15	5.16985e+06
50.2839	0.15	5.06037e+06
50.4495	0.15	5.00267e+06
50.6158	0.15	4.77457e+06
50.7825	0.15	4.76417e+06
50.9498	0.15	4.66234e+06
51.1177	0.15	4.62647e+06
51.2861	0.15	4.75773e+06
51.4551	0.15	4.88811e+06
51.6247	0.15	5.03106e+06
51.7947	0.15	5.07892e+06
51.9654	0.15	5.17493e+06
52.1366	0.15	5.20131e+06
52.3084	0.15	5.21496e+06
52.4807	0.15	5.26796e+06
52.6537	0.15	5.23689e+06
52.8271	0.15	5.20933e+06
53.0012	0.15	5.24138e+06
53.1758	0.15	5.2322e+06
53.351	0.15	5.1866e+06
53.5268	0.15	5.23051e+06
53.7032	0.15	5.46588e+06
53.8801	0.15	5.54611e+06
54.0576	0.15	5.5427e+06
54.2358	0.15	5.61432e+06
54.4145	0.15	5.71336e+06
54.5937	0.15	5.63297e+06
54.7736	0.15	5.57933e+06
54.9541	0.15	5.6041e+06
55.1352	0.15	5.76973e+06
55.3168	0.15	5.84305e+06
55.4991	0.15	5.79423e+06
55.6819	0.15	5.72706e+06
55.8654	0.15	5.65563e+06
56.0495	0.15	5.73354e+06
56.2341	0.15	5.98395e+06
56.4194	0.15	6.16977e+06
56.6053	0.15	6.03806e+06
56.7918	0.15	5.91983e+06
56.9789	0.15	5.84876e+06
57.1667	0.15	5.88817e+06
57.355	0.15	6.05914e+06
57.544	0.15	6.11504e+06
57.7336	0.15	6.38609e+06
57.9238	0.15	6.66897e+06
58.1147	0.15	6.47351e+06
58.3061	0.15	6.61683e+06
58.4982	0.15	6.67534e+06
58.691	0.15	6.72246e+06
58.8844	0.15	6.90125e+06
59.0784	0.15	7.05765e+06
59.273	0.15	6.94204e+06
59.4683	0.15	6.85597e+06
59.6643	0.15	6.67346e+06
59.8608	0.15	6.59257e+06
60.0581	0.15	6.6072e+06
60.256	0.15	6.68334e+06
60.4545	0.15	7.52946e+06
60.6537	0.15	7.86146e+06
60.8535	0.15	7.73646e+06
61.054	0.15	7.60915e+06
61.2552	0.15	7.32618e+06
61.457	0.15	7.20566e+06
61.6595	0.15	7.09539e+06
61.8627	0.15	7.11153e+06
62.0665	0.15	7.2343e+06
62.271	0.15	7.19896e+06
62.4762	0.15	7.26452e+06
62.682	0.15	7.28943e+06
62.8885	0.15	7.25694e+06
63.0957	0.15	7.65003e+06
63.3036	0.15	7.69437e+06
63.5122	0.15	7.71118e+06
63.7215	0.15	7.61608e+06
63.9314	0.15	7.68271e+06
64.1421	0.15	7.76624e+06
64.3534	0.15	7.69755e+06
64.5654	0.15	7.64331e+06
64.7782	0.15	7.57779e+06
64.9916	0.15	7.70109e+06
65.2057	0.15	8.0633e+06
65.4206	0.15	8.26703e+06
65.6361	0.15	8.22053e+06
65.8524	0.15	8.12504e+06
66.0693	0.15	8.25057e+06
66.287	0.15	8.25203e+06
66.5054	0.15	8.19123e+06
66.7246	0.15	8.21963e+06
66.9444	0.15	8.27388e+06
67.165	0.15	8.1629e+06
67.3863	0.15	8.06451e+06
67.6083	0.15	8.04983e+06
67.8311	0.15	8.28752e+06
68.0545	0.15	8.18062e+06
68.2788	0.15	8.46884e+06
68.5037	0.15	8.48739e+06
68.7294	0.15	8.66991e+06
68.9559	0.15	8.7211e+06
69.1831	0.15	8.696e+06
69.411	0.15	9.31023e+06
69.6397	0.15	9.12918e+06
69.8692	0.15	9.52319e+06
70.0994	0.15	9.48111e+06
70.3304	0.15	9.16551e+06
70.5621	0.15	9.20179e+06
70.7946	0.15	9.21619e+06
71.0278	0.15	9.25512e+06
71.2619	0.15	9.20712e+06
71.4967	0.15	9.26504e+06
71.7322	0.15	9.39725e+06
71.9686	0.15	9.48914e+06
72.2057	0.15	9.72939e+06
72.4436	0.15	1.0009e+07
72.6823	0.15	1.03599e+07
72.9218	0.15	1.08566e+07
73.162	0.15	1.08271e+07
73.4031	0.15	1.05802e+07
73.6449	0.15	1.03521e+07
73.8876	0.15	1.01218e+07
74.131	0.15	9.91778e+06
74.3753	0.15	9.71934e+06
74.6203	0.15	9.53911e+06
74.8662	0.15	9.38239e+06
75.1129	0.15	9.31999e+06
75.3603	0.15	9.06821e+06
75.6086	0.15	8.94693e+06
75.8578	0.15	8.86261e+06
76.1077	0.15	8.98935e+06
76.3585	0.15	9.80351e+06
76.61	0.15	1.09355e+07
76.8625	0.15	1.19912e+07
77.1157	0.15	1.30412e+07
77.3698	0.15	1.34801e+07
77.6247	0.15	1.37937e+07
77.8805	0.15	1.38226e+07
78.1371	0.15	1.36943e+07
78.3945	0.15	1.34785e+07
78.6528	0.15	1.32463e+07
78.912	0.15	1.30045e+07
79.172	0.15	1.27481e+07
79.4328	0.15	1.25414e+07
79.6945	0.15	1.24229e+07
79.9571	0.15	1.2663e+07
80.2206	0.15	1.27043e+07
80.4849	0.15	1.28728e+07
80.7501	0.15	1.28786e+07
81.0161	0.15	1.2899e+07
81.2831	0.15	1.30446e+07
81.5509	0.15	1.29209e+07
81.8196	0.15	1.29144e+07
82.0891	0.15	1.30288e+07
82.3596	0.15	1.28894e+07
82.631	0.15	1.27813e+07
82.9032	0.15	1.31399e+07
83.1764	0.15	1.35837e+07
83.4504	0.15	1.34393e+07
83.7254	0.15	1.34828e+07
84.0012	0.15	1.37646e+07
84.278	0.15	1.38023e+07
84.5557	0.15	1.38561e+07
84.8343	0.15	1.40376e+07
85.1138	0.15	1.41412e+07
85.3942	0.15	1.38116e+07
85.6756	0.15	1.3641e+07
85.9579	0.15	1.37824e+07
86.2411	0.15	1.41908e+07
86.5252	0.15	1.43323e+07
86.8103	0.15	1.46826e+07
87.0964	0.15	1.45547e+07
87.3833	0.15	1.44159e+07
87.6712	0.15	1.45334e+07
87.9601	0.15	1.48578e+07
88.2499	0.15	1.50484e+07
88.5407	0.15	1.49206e+07
88.8324	0.15	1.46923e+07
89.1251	0.15	1.45912e+07
89.4187	0.15	1.48351e+07
89.7134	0.15	1.55215e+07
90.009	0.15	1.57395e+07
90.3055	0.15	1.55049e+07
90.6031	0.15	1.53671e+07
90.9016	0.15	1.56569e+07
91.2011	0.15	1.5539e+07
91.5016	0.15	1.54506e+07
91.8031	0.15	1.57073e+07
92.1055	0.15	1.6435e+07
92.409	0.15	1.55926e+07
92.7135	0.15	1.62109e+07
93.0189	0.15	1.62289e+07
93.3254	0.15	1.60008e+07
93.6329	0.15	1.57875e+07
93.9414	0.15	1.58356e+07
94.2509	0.15	1.61172e+07
94.5615	0.15	1.62133e+07
94.873	0.15	1.67763e+07
95.1856	0.15	1.73073e+07
95.4993	0.15	1.74004e+07
95.8139	0.15	1.71258e+07
96.1296	0.15	1.68486e+07
96.4463	0.15	1.66418e+07
96.7641	0.15	1.66077e+07
97.0829	0.15	1.69855e+07
97.4028	0.15	1.82131e+07
97.7237	0.15	1.96654e+07
98.0457	0.15	1.96154e+07
98.3687	0.15	1.93611e+07
98.6929	0.15	1.87737e+07
99.018	0.15	1.83978e+07
99.3443	0.15	1.80695e+07
99.6716	0.15	1.79109e+07
100	0.15	1.8117e+07
