Values[alpha].InitialValue	Values[delta].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00342204	0.15	3863.37
0.00343332	0.15	3863.35
0.00344463	0.15	3863.32
0.00345598	0.15	3863.3
0.00346737	0.15	3863.28
0.00347879	0.15	3863.25
0.00349025	0.15	3863.23
0.00350175	0.15	3863.2
0.00351329	0.15	3863.18
0.00352487	0.15	3863.15
0.00353648	0.15	3863.13
0.00354813	0.15	3863.1
0.00355982	0.15	3863.07
0.00357155	0.15	3863.05
0.00358332	0.15	3863.02
0.00359513	0.15	3863
0.00360697	0.15	3862.97
0.00361886	0.15	3862.95
0.00363078	0.15	3862.92
0.00364274	0.15	3862.89
0.00365475	0.15	3862.87
0.00366679	0.15	3862.84
0.00367887	0.15	3862.82
0.00369099	0.15	3862.79
0.00370315	0.15	3862.76
0.00371535	0.15	3862.74
0.00372759	0.15	3862.71
0.00373988	0.15	3862.68
0.0037522	0.15	3862.66
0.00376456	0.15	3862.63
0.00377696	0.15	3862.6
0.00378941	0.15	3862.58
0.00380189	0.15	3862.55
0.00381442	0.15	3862.52
0.00382699	0.15	3862.49
0.0038396	0.15	3862.47
0.00385225	0.15	3862.44
0.00386494	0.15	3862.41
0.00387768	0.15	3862.38
0.00389045	0.15	3862.35
0.00390327	0.15	3862.33
0.00391613	0.15	3862.3
0.00392903	0.15	3862.27
0.00394198	0.15	3862.24
0.00395497	0.15	3862.21
0.003968	0.15	3862.19
0.00398107	0.15	3862.16
0.00399419	0.15	3862.13
0.00400735	0.15	3862.1
0.00402055	0.15	3862.07
0.0040338	0.15	3862.04
0.00404709	0.15	3862.01
0.00406042	0.15	3861.98
0.0040738	0.15	3861.95
0.00408723	0.15	3861.92
0.00410069	0.15	3861.9
0.0041142	0.15	3861.87
0.00412776	0.15	3861.84
0.00414136	0.15	3861.81
0.004155	0.15	3861.78
0.00416869	0.15	3861.75
0.00418243	0.15	3861.72
0.00419621	0.15	3861.69
0.00421004	0.15	3861.66
0.00422391	0.15	3861.63
0.00423782	0.15	3861.59
0.00425179	0.15	3861.56
0.0042658	0.15	3861.53
0.00427985	0.15	3861.5
0.00429395	0.15	3861.47
0.0043081	0.15	3861.44
0.00432229	0.15	3861.41
0.00433654	0.15	3861.38
0.00435082	0.15	3861.35
0.00436516	0.15	3861.32
0.00437954	0.15	3861.28
0.00439397	0.15	3861.25
0.00440845	0.15	3861.22
0.00442297	0.15	3861.19
0.00443755	0.15	3861.16
0.00445217	0.15	3861.12
